 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
DE,,% BSO Failed Interior,0.181818182,0,0,0.066666667,0,0,,0,,0,,,
DE,,% BSO Failed Exterior,0.181818182,0,0,0.133333333,0.076923077,0,,0,,0.076923077,,,
DE,,% BSO Failed Trash Removal,0.090909091,0,0,0.066666667,0,0,,0,,0,,,
DE,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
DE,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
DE,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
DE,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
DE,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
DE,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
DE,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
DE,Ongoing QC,Ongoing Services QC Completed,15,20,8,37,35,9,,9,-4.777777778,62,,,
DE,,Ongoing Services Safety Rating,0.866666667,1,1,0.891891892,0.942857143,1,,,-,,,,
DE,,Ongoing Services Interior Rating,1,0.9,0.875,0.918918919,0.971428571,1,,,-,,,,
DE,,Ongoing Services Exterior Rating,0.933333333,0.9,0.75,0.702702703,0.857142857,0.777777778,,,-,,,,
DE,,Overall Ongoing Services QC Score,1,0.95,1,0.864864865,0.942857143,1,1,,-,,,20,20
DE,Seasonal,Wint Count,0,0,0,0,0,29,,,,,,,
DE,,Avg Days to Complete Wints,,,,,,5.620689655,,,,,,,
DE,,Initial Winterization % Overdue,,,,,,,,,,,,,
DE,,Grass Cut Count,,,,,,,,,,,,,
DE,,% Grass Cut Passing,0.866666667,1,0.875,1,0.971428571,1,,1,0.016129032,0.983870968,,,
DE,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,Overall Score,,96,
MD,Maryland,,,,,,,,,,,,,,
MD,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
MD,Initial Services,Initial Services Completed,98,87,81,84,83,34,,25,6.777777778,82,,,
MD,,Average Days to Complete Initial Service,11.81333333,8.236111111,9.492957746,9.76119403,7.9,8.976190476,8.976190476,8.976190476,-0.301401497,9.277591973,,16,20
MD,,Average Days to BSO Pass,8.027777778,9.01369863,9.128571429,14.81428571,10.12857143,11.51923077,,8.976190476,-0.301401497,9.277591973,,,
MD,,% Completed >10 Days,0.23255814,0.25,0.324074074,0.252830189,0.264705882,0.238095238,0.238095238,0.238095238,-0.036152254,0.274247492,,,
MD,,Initial Interior Maintenance % Overdue,0.485714286,0.46969697,0.520547945,0.504950495,0.388235294,0.392857143,,0.392857143,-0.007142857,0.4,,,
MD,,Initial Exterior Maintenance % Overdue,0.186666667,0.166666667,0.253521127,0.223880597,0.328571429,0.2,,0.2,-0.129268293,0.329268293,,,
MD,,Initial Trash Removal % Overdue,0.514285714,0.5,0.486111111,0.515463918,0.397590361,0.290322581,,0.290322581,-0.102200784,0.392523364,,,
MD,,Initial Interior Maintenance % Overdue,0.411764706,0.368421053,0.28,0.222222222,0.285714286,0.25,0.25,,,,,,
MD,,Initial Exterior Maintenance % Overdue,0.272727273,0.0625,0.090909091,0.333333333,0.25,0.217391304,0.217391304,,,,,,
MD,,Initial Trash Removal % Overdue,0.375,0.111111111,0.176470588,0.066666667,0.181818182,0.142857143,0.142857143,,,,,,
MD,Initial QC,Initial Services QC Completed,51,64,85,79,107,22,,22,-9.333333333,141,,,
MD,,Initial Safety Rating,0.901960784,0.84375,0.905882353,0.860759494,0.803738318,0.772727273,,0.772727273,-0.035783366,0.808510638,,,
MD,,Initial Interior Rating,0.980392157,0.96875,0.941176471,1,0.934579439,0.863636364,,0.863636364,-0.065441651,0.929078014,,,
MD,,Initial Exterior Rating,0.862745098,0.84375,0.8,0.886075949,0.869158879,0.818181818,,0.818181818,-0.03997421,0.858156028,,,
MD,,Overall Initial Services QC Score,0.960784314,0.96875,0.929411765,0.974683544,0.925233645,0.954545455,0.954545455,0.954545455,0.018375242,0.936170213,,20,20
MD,BSO,Initial BSO Volume,67,62,66,83,86,22,,22,0.444444444,97,,,
MD,,Initial BSO % Passing,0.850746269,0.85483871,0.848484848,0.807228916,0.837209302,0.772727273,,0.772727273,-0.072633552,0.845360825,,16,20
MD,,Overall BSO % Passing,0.8625,0.845070423,0.843373494,0.794117647,0.851485149,0.769230769,,0.769230769,-0.078226858,0.847457627,,8,10
MD,,Number of Reorders,13,9,17,19,15,4,,4,-0.666666667,21,,,
MD,,Average Days to Complete Reorder,9.6875,9.705882353,8.833333333,11.03703704,11.63157895,,,,-,,,10,10
MD,,Number of Failed BSO,10,9,10,16,14,5,,5,1.666666667,15,,,
MD,,% BSO Failed Interior,0.104477612,0.129032258,0.060606061,0.096385542,0.058139535,0.136363636,,0.136363636,,0.051546392,,,
MD,,% BSO Failed Exterior,0.089552239,0.112903226,0.121212121,0.096385542,0.127906977,0.136363636,,0.136363636,,0.113402062,,,
MD,,% BSO Failed Trash Removal,0.074626866,0.064516129,0.060606061,0.144578313,0.069767442,0.136363636,,0.136363636,,0.072164948,,,
MD,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
MD,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
MD,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
MD,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
MD,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
MD,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
MD,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
MD,Ongoing QC,Ongoing Services QC Completed,84,105,122,190,191,108,,108,21.11111111,391,,,
MD,,Ongoing Services Safety Rating,0.928571429,0.914285714,0.926229508,0.873684211,0.890052356,0.916666667,,,-,,,,
MD,,Ongoing Services Interior Rating,0.976190476,0.971428571,0.959016393,0.984210526,0.968586387,0.907407407,,,-,,,,
MD,,Ongoing Services Exterior Rating,0.857142857,0.933333333,0.81147541,0.857894737,0.858638743,0.833333333,,,-,,,,
MD,,Overall Ongoing Services QC Score,0.964285714,0.971428571,0.926229508,0.963157895,0.952879581,0.935185185,0.935185185,,-,,,20,20
MD,Seasonal,Wint Count,0,0,0,0,0,100,,,,,,,
MD,,Avg Days to Complete Wints,,,,,,7.16,,,,,,,
MD,,Initial Winterization % Overdue,,,,,,,,,,,,,
MD,,Grass Cut Count,,,,,,,,,,,,,
MD,,% Grass Cut Passing,0.726190476,0.8,0.844262295,0.673684211,0.701570681,0.685185185,,0.685185185,0.015108459,0.670076726,,,
MD,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,Overall Score,,90,
nj,New Jersey,,,,,,,,,,,,,,
nj,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
nj,Initial Services,Initial Services Completed,169,165,136,132,174,51,,44,9.333333333,156,,,
nj,,Average Days to Complete Initial Service,14.57142857,10.26865672,10.88288288,14.20909091,10.39552239,8.71942446,8.71942446,8.71942446,-3.030118501,11.74954296,,16,20
nj,,Average Days to BSO Pass,14.76865672,10.02272727,12.07692308,13.3490566,12.27407407,9.915151515,,8.71942446,-3.030118501,11.74954296,,,
nj,,% Completed >10 Days,0.632967033,0.489316239,0.459317585,0.703910615,0.395348837,0.26618705,0.26618705,0.26618705,-0.174397959,0.440585009,,,
nj,,Initial Interior Maintenance % Overdue,0.748427673,0.730994152,0.573529412,0.801652893,0.532163743,0.361702128,,0.361702128,-0.204624403,0.566326531,,,
nj,,Initial Exterior Maintenance % Overdue,0.654135338,0.410447761,0.495495495,0.654545455,0.432835821,0.272727273,,0.272727273,-0.195221445,0.467948718,,,
nj,,Initial Trash Removal % Overdue,0.742331288,0.705521472,0.582089552,0.803149606,0.523809524,0.270833333,,0.270833333,-0.288141026,0.558974359,,,
nj,,Initial Interior Maintenance % Overdue,0.47761194,0.392156863,0.367346939,0.555555556,0.368421053,0.3125,0.3125,,,,,,
nj,,Initial Exterior Maintenance % Overdue,0.341463415,0.394736842,0.25,0.465116279,0.34375,0.275862069,0.275862069,,,,,,
nj,,Initial Trash Removal % Overdue,0.346153846,0.333333333,0.311111111,0.454545455,0.277777778,0.268292683,0.268292683,,,,,,
nj,Initial QC,Initial Services QC Completed,113,158,131,146,147,34,,34,-10.66666667,201,,,
nj,,Initial Safety Rating,0.787610619,0.873417722,0.687022901,0.801369863,0.74829932,0.735294118,,0.735294118,-0.030875037,0.766169154,,,
nj,,Initial Interior Rating,0.955752212,0.962025316,0.938931298,0.938356164,0.925170068,0.941176471,,0.941176471,0.010828212,0.930348259,,,
nj,,Initial Exterior Rating,0.82300885,0.85443038,0.732824427,0.780821918,0.727891156,0.794117647,,0.794117647,0.037898742,0.756218905,,,
nj,,Overall Initial Services QC Score,0.884955752,0.943037975,0.801526718,0.924657534,0.802721088,0.882352941,0.882352941,0.882352941,0.046532046,0.835820896,,20,20
nj,BSO,Initial BSO Volume,135,149,111,107,148,46,,46,8.666666667,168,,,
nj,,Initial BSO % Passing,0.881481481,0.899328859,0.882882883,0.91588785,0.918918919,0.913043478,,0.913043478,-0.01552795,0.928571429,,20,20
nj,,Overall BSO % Passing,0.88372093,0.90052356,0.883211679,0.896,0.883977901,0.907407407,,0.907407407,0.011367803,0.896039604,,10,10
nj,,Number of Reorders,38,42,26,18,33,8,,8,0.444444444,34,,,
nj,,Average Days to Complete Reorder,12.25,11.07407407,12.5,10.85714286,14.17647059,7,7,,-,,,10,10
nj,,Number of Failed BSO,16,15,13,9,12,4,,4,1.333333333,12,,,
nj,,% BSO Failed Interior,0.022222222,0.053691275,0.045045045,0.028037383,0.033783784,0.043478261,,0.043478261,,0.029761905,,,
nj,,% BSO Failed Exterior,0.037037037,0.046979866,0.027027027,0.056074766,0.054054054,0.043478261,,0.043478261,,0.047619048,,,
nj,,% BSO Failed Trash Removal,0.066666667,0.026845638,0.072072072,0.046728972,0.040540541,0.02173913,,0.02173913,,0.035714286,,,
nj,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
nj,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
nj,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
nj,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
nj,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
nj,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
nj,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
nj,Ongoing QC,Ongoing Services QC Completed,220,310,273,379,539,119,,119,-62.11111111,815,,,
nj,,Ongoing Services Safety Rating,0.804545455,0.816129032,0.831501832,0.754617414,0.755102041,0.806722689,,,-,,,,
nj,,Ongoing Services Interior Rating,0.927272727,0.890322581,0.904761905,0.870712401,0.846011132,0.865546218,,,-,,,,
nj,,Ongoing Services Exterior Rating,0.727272727,0.677419355,0.622710623,0.654353562,0.6567718,0.647058824,,,-,,,,
nj,,Overall Ongoing Services QC Score,0.85,0.874193548,0.831501832,0.791556728,0.788497217,0.831932773,0.831932773,,-,,,16,20
nj,Seasonal,Wint Count,30,0,0,0,234,212,,,,,,,
nj,,Avg Days to Complete Wints,12.5,,,,19.49145299,30.51886792,,,,,,,
nj,,Initial Winterization % Overdue,,,,0,0.97044335,,,,,,,,
nj,,Grass Cut Count,,,,,,,,,,,,,
nj,,% Grass Cut Passing,0.727272727,0.722580645,0.710622711,0.791556728,0.80148423,0.764705882,,0.764705882,-0.021797185,0.786503067,,,
nj,,,,,,,,,,,,,,,
nj,,,,,,,,,,,,Overall Score,,92,
PA,Pennsylvania,,,,,,,,,,,,,,
PA,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
PA,Initial Services,Initial Services Completed,149,155,136,138,93,40,,38,16.44444444,97,,,
PA,,Average Days to Complete Initial Service,13.1023622,10.42424242,11.10344828,9.890756303,9.184210526,9.666666667,9.666666667,9.666666667,-1.435897436,11.1025641,,12,20
PA,,Average Days to BSO Pass,10.8974359,9.62962963,12.07563025,11.16393443,10.79220779,9.985507246,,9.666666667,-1.435897436,11.1025641,,,
PA,,% Completed >10 Days,0.5,0.386416862,0.47715736,0.462337662,0.35,0.333333333,0.333333333,0.333333333,-0.056980057,0.39031339,,,
PA,,Initial Interior Maintenance % Overdue,0.700680272,0.556291391,0.613138686,0.6,0.480392157,0.466666667,,0.466666667,-0.053018373,0.519685039,,,
PA,,Initial Exterior Maintenance % Overdue,0.464566929,0.333333333,0.474137931,0.394957983,0.328947368,0.263157895,,0.263157895,-0.087357569,0.350515464,,,
PA,,Initial Trash Removal % Overdue,0.704225352,0.541666667,0.631205674,0.564885496,0.5,0.369565217,,0.369565217,-0.142245806,0.511811024,,,
PA,,Initial Interior Maintenance % Overdue,0.488888889,0.392857143,0.42,0.5,0.35,0.131578947,0.131578947,,,,,,
PA,,Initial Exterior Maintenance % Overdue,0.307692308,0.45,0.357142857,0.368421053,0.310344828,0.04,0.04,,,,,,
PA,,Initial Trash Removal % Overdue,0.333333333,0.361702128,0.384615385,0.419354839,0.277777778,0.064516129,0.064516129,,,,,,
PA,Initial QC,Initial Services QC Completed,64,92,133,150,111,38,,38,0.666666667,168,,,
PA,,Initial Safety Rating,0.78125,0.836956522,0.751879699,0.726666667,0.72972973,0.736842105,,0.736842105,-0.001253133,0.738095238,,,
PA,,Initial Interior Rating,0.859375,0.902173913,0.872180451,0.88,0.837837838,0.921052632,,0.921052632,0.063909774,0.857142857,,,
PA,,Initial Exterior Rating,0.6875,0.75,0.69924812,0.68,0.711711712,0.736842105,,0.736842105,0.046365915,0.69047619,,,
PA,,Overall Initial Services QC Score,0.828125,0.913043478,0.789473684,0.806666667,0.756756757,0.894736842,0.894736842,0.894736842,0.114974937,0.779761905,,20,20
PA,BSO,Initial BSO Volume,128,140,113,130,100,25,,25,-1.666666667,120,,,
PA,,Initial BSO % Passing,0.859375,0.892857143,0.849557522,0.9,0.94,0.88,,0.88,-0.028333333,0.908333333,,20,20
PA,,Overall BSO % Passing,0.867088608,0.875,0.794520548,0.883435583,0.916666667,0.896551724,,0.896551724,0.002185527,0.894366197,,10,10
PA,,Number of Reorders,30,28,33,33,20,4,,4,-0.888888889,22,,,
PA,,Average Days to Complete Reorder,13.65,12.53571429,19.05882353,19.26086957,13.33333333,34,34,,-,,,0,10
PA,,Number of Failed BSO,18,15,17,13,6,3,,3,0.555555556,11,,,
PA,,% BSO Failed Interior,0.0625,0.064285714,0.053097345,0.053846154,0.05,0.04,,0.04,,0.066666667,,,
PA,,% BSO Failed Exterior,0.0625,0.064285714,0.079646018,0.038461538,0.02,0.08,,0.08,,0.033333333,,,
PA,,% BSO Failed Trash Removal,0.078125,0.05,0.088495575,0.046153846,0.03,0,,0,,0.041666667,,,
PA,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
PA,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
PA,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
PA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
PA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
PA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
PA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
PA,Ongoing QC,Ongoing Services QC Completed,80,136,155,218,356,63,,63,-46.55555556,493,,,
PA,,Ongoing Services Safety Rating,0.85,0.830882353,0.819354839,0.747706422,0.792134831,0.825396825,,,-,,,,
PA,,Ongoing Services Interior Rating,0.875,0.867647059,0.883870968,0.821100917,0.780898876,0.841269841,,,-,,,,
PA,,Ongoing Services Exterior Rating,0.65,0.647058824,0.664516129,0.518348624,0.547752809,0.619047619,,,-,,,,
PA,,Overall Ongoing Services QC Score,0.825,0.823529412,0.838709677,0.756880734,0.741573034,0.761904762,0.761904762,,-,,,16,20
PA,Seasonal,Wint Count,60,66,0,0,326,104,,,,,,,
PA,,Avg Days to Complete Wints,12.05,0,,,14.63803681,26.85576923,,,,,,,
PA,,Initial Winterization % Overdue,,,,,0.947368421,,,,,,,,
